Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
1,allium,1,0.0008,0.0768,0,0.4008,1,,
1,anacyclu,1,0.0008,0.0768,0,0.4008,0,,
1,anaga,1,0.0008,0.0768,0,0.4008,0,,
1,ARTIBA,96,0.0768,NA,NA,38.4768,45,,
1,ASPH,9,0.0072,0.6912,0,3.6072,2,,
1,ASTER,7,0.0056,0.5376,0,2.8056,6,,
1,astrase,1,0.0008,0.0768,0,0.4008,0,,
1,avebro,27,0.0216,2.0736,0,10.8216,6,,
1,avena,1,0.0008,0.0768,0,0.4008,0,,
1,BRADI,8,0.0064,0.6144,0,3.2064,2,,
1,BRARE,53,0.0424,4.0704,1,21.2424,2,,
1,BRORU,8,0.0064,0.6144,1,3.2064,0,,
1,bublepru,2,0.0016,0.1536,0,0.8016,0,,
1,bupbal,1,0.0008,0.0768,0,0.4008,1,,
1,BUPLEU,3,0.0024,0.2304,0,1.2024,1,,
1,centa,1,0.0008,0.0768,0,0.4008,1,,
1,centratus,1,0.0008,0.0768,1,0.4008,1,,
1,DACT,37,0.0296,2.8416,6,14.8296,15,,
1,DESMA,1,0.0008,0.0768,0,0.4008,0,,
1,DIPCA,14,0.0112,1.0752,1,5.6112,5,,
1,echina,1,0.0008,0.0768,0,0.4008,0,,
1,efedra,2,0.0016,0.1536,0,0.8016,0,,
1,ely,2,0.0016,0.1536,0,0.8016,0,,
1,euphe,1,0.0008,0.0768,0,0.4008,1,,
1,festuca,1,0.0008,0.0768,0,0.4008,0,,
1,FILAGO,7,0.0056,0.5376,0,2.8056,3,,
1,GALIVE,2,0.0016,0.1536,0,0.8016,1,,
1,GENISCO,10,0.008,0.768,0,4.008,2,,
1,globu,7,0.0056,0.5376,0,2.8056,1,,
1,helihirt,9,0.0072,0.6912,0,3.6072,1,,
1,HELIPI,6,0.0048,0.4608,0,2.4048,3,,
1,HELISA,1,0.0008,0.0768,0,0.4008,0,,
1,HORDEUM,13,0.0104,0.9984,0,5.2104,9,,
1,HYP,8,0.0064,0.6144,0,3.2064,3,,
1,junipho,1,0.0008,0.0768,0,0.4008,0,,
1,koelerval,29,0.0232,2.2272,0,11.6232,4,,
1,LINU,24,0.0192,1.8432,1,9.6192,13,,
1,lygi,501,0.4008,38.4768,45,NA,NA,,
1,malcomia,20,0.016,1.536,0,8.016,7,,
1,MATIOLA,2,0.0016,0.1536,0,0.8016,0,,
1,NEATOS,2,0.0016,0.1536,0,0.8016,1,,
1,OROBRAN,1,0.0008,0.0768,0,0.4008,0,,
1,PLAFRA,4,0.0032,0.3072,0,1.6032,2,,
1,PLAL,93,0.0744,7.1424,4,37.2744,38,,
1,ROME,198,0.1584,15.2064,2,79.3584,22,,
1,RUTA,3,0.0024,0.2304,0,1.2024,0,,
1,scabiosa,2,0.0016,0.1536,0,0.8016,0,,
1,SEDU,10,0.008,0.768,0,4.008,6,,
1,sonchus,6,0.0048,0.4608,2,2.4048,2,,
1,SPERGULA,24,0.0192,1.8432,4,9.6192,4,,
1,STIPALAG,191,0.1528,14.6688,19,76.5528,37,,
1,taraxa,4,0.0032,0.3072,0,1.6032,3,,
1,TEUCAP,4,0.0032,0.3072,0,1.6032,2,,
1,thapsia,7,0.0056,0.5376,0,2.8056,5,,
1,THYMUVU,25,0.02,1.92,1,10.02,12,,
2,allium,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,ARTIBA,87,0.069544365,NA,NA,32.5467,22,0.4176,2
2,ASPH,9,0.007194245,0.6255,0,3.3669,4,0.0432,0
2,ASTER,12,0.009592326,0.834,0,4.4892,4,0.0576,0
2,ASTRAG,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,avebro,7,0.005595524,0.4865,0,2.6187,4,0.0336,0
2,avena,39,0.03117506,2.7105,3,14.5899,9,0.1872,1
2,BRADI,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,BRARE,81,0.064748201,5.6295,0,30.3021,31,0.3888,0
2,brodia,2,0.001598721,0.139,0,0.7482,2,0.0096,0
2,BRORU,7,0.005595524,0.4865,0,2.6187,2,0.0336,0
2,bublepru,11,0.008792966,0.7645,0,4.1151,1,0.0528,0
2,cabu,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,centratus,2,0.001598721,0.139,0,0.7482,1,0.0096,0
2,cistuclu,17,0.013589129,1.1815,0,6.3597,3,0.0816,0
2,coronilla,7,0.005595524,0.4865,0,2.6187,4,0.0336,0
2,DACT,35,0.027977618,2.4325,3,13.0935,10,0.168,0
